"CO_DSEI";"DS_NOME";"DS_NOMEPAD";"CO_SEDE"
"001";"Alagoas e Sergipe - AL/SE";"ALAGOAS E SERGIPE - AL/SE";"270430"
"002";"Altamira - PA";"ALTAMIRA - PA";"150060"
"003";"Alto Rio Juruá - AC";"ALTO RIO JURUA - AC";"120020"
"004";"Alto Rio Negro - AM";"ALTO RIO NEGRO - AM";"130380"
"005";"Alto Rio Purus - RO/AC/AM";"ALTO RIO PURUS - RO/AC/AM";"120040"
"006";"Alto Rio Solimões - AM";"ALTO RIO SOLIMOES - AM";"130406"
"007";"Amapá e Norte do Pará - AP/PA";"AMAPA E NORTE DO PARA - AP/PA";"160030"
"008";"Araguaia - TO/MT/GO";"ARAGUAIA - TO/MT/GO";"510785"
"009";"Bahia - BA";"BAHIA - BA";"292740"
"010";"Ceará - CE";"CEARA - CE";"230440"
"011";"Cuiabá - MT";"CUIABA - MT";"510340"
"012";"Guamá-Tocantins - PA/MA";"GUAMA-TOCANTINS - PA/MA";"150140"
"013";"Interior Sul - SP/PR/SC/RS";"INTERIOR SUL - SP/PR/SC/RS";"420420"
"014";"Kayapó do Mato Grosso - PA/MT";"KAYAPO DO MATO GROSSO - PA/MT";"510320"
"015";"Kayapó do Pará - PA";"KAYAPO DO PARA - PA";"150613"
"016";"Leste de Roraima - RR";"LESTE DE RORAIMA - RR";"140010"
"017";"Litoral Sul - RJ/SP/PR/SC/RS";"LITORAL SUL - RJ/SP/PR/SC/RS";"410690"
"018";"Manaus - AM";"MANAUS - AM";"130260"
"019";"Maranhão - MA";"MARANHAO - MA";"211130"
"020";"Mato Grosso do Sul - MS";"MATO GROSSO DO SUL - MS";"500270"
"021";"Médio Rio Purus - AM";"MEDIO RIO PURUS - AM";"130240"
"022";"Médio Rio Solimões e Afluentes - AM";"MEDIO RIO SOLIMOES E AFLUENTES - AM";"130420"
"023";"Minas Gerais e Espírito Santo - MG/ES";"MINAS GERAIS E ESPIRITO SANTO - MG/ES";"312770"
"024";"Parintins - AM/PA";"PARINTINS - AM/PA";"130340"
"025";"Xingu - MT";"XINGU - MT";"510270"
"026";"Pernambuco - PE";"PERNAMBUCO - PE";"261160"
"027";"Porto Velho - RO/AM/MT";"PORTO VELHO - RO/AM/MT";"110020"
"028";"Potiguara - PB";"POTIGUARA - PB";"250750"
"029";"Rio Tapajós - PA";"RIO TAPAJOS - PA";"150360"
"030";"Tocantins - TO";"TOCANTINS - TO";"172100"
"031";"Vale do Rio Javari - AM";"VALE DO RIO JAVARI - AM";"130020"
"032";"Vilhena - RO/MT";"VILHENA - RO/MT";"110030"
"033";"Xavante - MT";"XAVANTE - MT";"510180"
"034";"Ianomâmi - AM/RR";"IANOMAMI - AM/RR";"140010"
