"00000";"IGNOR";"Município ignorado ou exterior";"MUNICIPIO IGNORADO OU EXTERIOR";"Ignorado/Exterior";"8"
"11000";"IGNOR";"Município ignorado - RO";"MUNICIPIO IGNORADO - RO";"Ignorado - RO";"8"
"11001";"ATIVO";"Vale do Jamari";"VALE DO JAMARI";"Vale do Jamari";"1"
"11002";"ATIVO";"Café";"CAFE";"Café";"1"
"11003";"ATIVO";"Central";"CENTRAL";"Central";"1"
"11004";"ATIVO";"Madeira-Mamoré";"MADEIRA-MAMORE";"Madeira-Mamoré";"1"
"11005";"ATIVO";"Zona da Mata";"ZONA DA MATA";"Zona da Mata";"1"
"11006";"ATIVO";"Cone Sul";"CONE SUL";"Cone Sul";"1"
"11007";"ATIVO";"Vale do Guaporé";"VALE DO GUAPORE";"Vale do Guaporé";"1"
"12000";"IGNOR";"Município ignorado - AC";"MUNICIPIO IGNORADO - AC";"Ignorado - AC";"8"
"12001";"ATIVO";"Alto Acre";"ALTO ACRE";"Alto Acre";"1"
"12002";"ATIVO";"Baixo Acre e Purus";"BAIXO ACRE E PURUS";"Baixo Acre e Purus";"1"
"12003";"ATIVO";"Juruá e Tarauacá/Envira";"JURUA E TARAUACA/ENVIRA";"Juruá e Tarauacá/Envira";"1"
"13000";"IGNOR";"Município ignorado - AM";"MUNICIPIO IGNORADO - AM";"Ignorado - AM";"8"
"13001";"ATIVO";"Manaus, Entorno e Alto Rio Negro";"MANAUS ENTORNO E ALTO RIO NEGRO";"Manaus e Alto Rio Negro";"1"
"13002";"ATIVO";"Rio Negro e Solimões";"RIO NEGRO E SOLIMOES";"Rio Negro e Solimões";"1"
"13003";"ATIVO";"Rio Madeira";"RIO MADEIRA";"Rio Madeira";"1"
"13004";"ATIVO";"Médio Amazonas";"MEDIO AMAZONAS";"Médio Amazonas";"1"
"13005";"ATIVO";"Baixo Amazonas";"BAIXO AMAZONAS";"Baixo Amazonas";"1"
"13006";"ATIVO";"Regional Purus";"REGIONAL PURUS";"Regional Purus";"1"
"13007";"ATIVO";"Regional Juruá";"REGIONAL JURUA";"Regional Juruá";"1"
"13008";"ATIVO";"Triângulo";"TRIANGULO";"Triângulo";"1"
"13009";"ATIVO";"Alto Solimões";"ALTO SOLIMOES";"Alto Solimões";"1"
"14000";"IGNOR";"Município ignorado - RR";"MUNICIPIO IGNORADO - RR";"Ignorado - RR";"8"
"14001";"ATIVO";"Centro Norte";"CENTRO NORTE";"Centro Norte";"1"
"14002";"ATIVO";"Sul";"SUL";"Sul";"1"
"15000";"IGNOR";"Município ignorado - PA";"MUNICIPIO IGNORADO - PA";"Município ignorado - PA";"8"
"15001";"ATIVO";"Araguaia";"ARAGUAIA";"Araguaia";"1"
"15002";"ATIVO";"Baixo Amazonas";"BAIXO AMAZONAS";"Baixo Amazonas";"1"
"15003";"ATIVO";"Carajás";"CARAJAS";"Carajás";"1"
"15004";"ATIVO";"Lago de Tucuruí";"LAGO DE TUCURUI";"Lago de Tucuruí";"1"
"15006";"ATIVO";"Metropolitana I";"METROPOLITANA I";"Metropolitana I";"1"
"15007";"ATIVO";"Metropolitana II";"METROPOLITANA II";"Metropolitana II";"1"
"15008";"ATIVO";"Metropolitana III";"METROPOLITANA III";"Metropolitana III";"1"
"15009";"ATIVO";"Rio Caetés";"RIO CAETES";"Rio Caetés";"1"
