"CO_MUNICIP";"CO_MACSAUD"
"000000";"0000"
"110000";"1100"
"110001";"1190"
"110002";"1190"
"110003";"1190"
"110004";"1190"
"110005";"1190"
"110006";"1190"
"110007";"1190"
"110008";"1190"
"110009";"1190"
"110010";"1190"
"110011";"1190"
"110012";"1190"
"110013";"1190"
"110014";"1190"
"110015";"1190"
"110018";"1190"
"110020";"1190"
"110025";"1190"
"110026";"1190"
"110028";"1190"
"110029";"1190"
"110030";"1190"
"110032";"1190"
"110033";"1190"
"110034";"1190"
"110037";"1190"
"110040";"1190"
"110045";"1190"
"110050";"1190"
"110060";"1190"
"110070";"1190"
"110080";"1190"
"110090";"1190"
"110092";"1190"
"110094";"1190"
"110100";"1190"
"110110";"1190"
"110120";"1190"
"110130";"1190"
"110140";"1190"
"110143";"1190"
"110145";"1190"
"110146";"1190"
"110147";"1190"
"110148";"1190"
"110149";"1190"
"110150";"1190"
"110155";"1190"
"110160";"1190"
"110170";"1190"
"110175";"1190"
"110180";"1190"
"120000";"1200"
"120001";"1290"
"120005";"1290"
"120010";"1290"
"120013";"1290"
"120017";"1290"
"120020";"1290"
"120025";"1290"
"120030";"1290"
"120032";"1290"
"120033";"1290"
"120034";"1290"
"120035";"1290"
"120038";"1290"
"120039";"1290"
"120040";"1290"
"120042";"1290"
"120043";"1290"
"120045";"1290"
"120050";"1290"
"120060";"1290"
"120070";"1290"
"120080";"1290"
"130000";"1300"
"130002";"1301"
"130006";"1301"
"130008";"1301"
"130010";"1301"
"130014";"1301"
"130020";"1301"
"130030";"1301"
"130040";"1301"
"130050";"1301"
"130060";"1301"
"130063";"1301"
"130068";"1301"
"130070";"1301"
"130080";"1301"
"130083";"1301"
"130090";"1301"
"130100";"1301"
"130110";"1301"
"130115";"1301"
"130120";"1301"
"130130";"1301"
"130140";"1301"
"130150";"1301"
"130160";"1301"
"130165";"1301"
"130170";"1301"
"130180";"1301"
"130185";"1301"
"130190";"1301"
"130195";"1301"
"130200";"1301"
"130210";"1301"
