"CO_MUNICIP";"CO_PNDR"
"000000";"900"
"110000";"911"
"110001";"911"
"110002";"911"
"110003";"911"
"110004";"911"
"110005";"911"
"110006";"911"
"110007";"911"
"110008";"911"
"110009";"911"
"110010";"911"
"110011";"911"
"110012";"911"
"110013";"911"
"110014";"911"
"110015";"911"
"110018";"911"
"110020";"911"
"110025";"911"
"110026";"911"
"110028";"911"
"110029";"911"
"110030";"911"
"110032";"911"
"110033";"911"
"110034";"911"
"110037";"911"
"110040";"911"
"110045";"911"
"110050";"911"
"110060";"911"
"110070";"911"
"110080";"911"
"110090";"911"
"110092";"911"
"110094";"911"
"110100";"911"
"110110";"911"
"110120";"911"
"110130";"911"
"110140";"911"
"110143";"911"
"110145";"911"
"110146";"911"
"110147";"911"
"110148";"911"
"110149";"911"
"110150";"911"
"110155";"911"
"110160";"911"
"110170";"911"
"110175";"911"
"110180";"911"
"120000";"912"
"120001";"010"
"120005";"010"
"120010";"010"
"120013";"010"
"120017";"010"
"120020";"912"
"120025";"010"
"120030";"912"
"120032";"912"
"120033";"912"
"120034";"912"
"120035";"912"
"120038";"010"
"120039";"912"
"120040";"010"
"120042";"912"
"120043";"912"
"120045";"010"
"120050";"912"
"120060";"912"
"120070";"010"
"120080";"010"
"130000";"913"
"130002";"913"
"130006";"002"
"130008";"913"
"130010";"913"
"130014";"913"
"130020";"002"
"130030";"913"
"130040";"913"
"130050";"913"
"130060";"002"
"130063";"913"
"130068";"913"
"130070";"010"
"130080";"913"
"130083";"913"
"130090";"913"
"130100";"913"
"130110";"913"
"130115";"913"
"130120";"913"
"130130";"913"
"130140";"913"
"130150";"913"
"130160";"002"
"130165";"913"
"130170";"913"
"130180";"913"
"130185";"913"
"130190";"913"
"130195";"913"
"130200";"913"
"130210";"913"
"130220";"913"
"130230";"002"
"130240";"913"
"130250";"913"
"130255";"913"
"130260";"913"
"130270";"913"
"130280";"913"
"130290";"913"
"130300";"913"
"130310";"913"
"130320";"913"
"130330";"913"
"130340";"913"
"130350";"010"
"130353";"913"
"130356";"913"
"130360";"913"
"130370";"002"
"130380";"913"
"130390";"002"
"130395";"913"
"130400";"913"
"130406";"002"
"130410";"913"
"130420";"913"
"130423";"002"
"130426";"913"
"130430";"913"
"130440";"913"
"140000";"914"
"140002";"914"
"140005";"914"
"140010";"914"
"140015";"914"
"140017";"914"
"140020";"914"
"140023";"914"
"140028";"914"
"140030";"914"
"140040";"914"
"140045";"914"
"140047";"914"
"140050";"914"
"140060";"914"
"140070";"914"
"150000";"915"
"150010";"915"
"150013";"006"
"150020";"915"
"150030";"915"
"150034";"006"
"150040";"915"
"150050";"915"
"150060";"003"
"150070";"915"
"150080";"915"
"150085";"003"
"150090";"915"
"150095";"915"
"150100";"915"
"150110";"915"
"150120";"915"
"150125";"915"
"150130";"915"
"150140";"915"
"150145";"915"
"150150";"915"
"150157";"006"
"150160";"915"
"150170";"915"
"150172";"003"
"150175";"006"
"150178";"915"
"150180";"915"
"150190";"915"
"150195";"915"
"150200";"915"
"150210";"915"
"150215";"006"
"150220";"915"
"150230";"915"
"150240";"915"
"150250";"915"
"150260";"915"
"150270";"006"
"150275";"915"
"150276";"915"
"150277";"006"
"150280";"915"
"150285";"915"
"150290";"915"
"150293";"915"
"150295";"006"
"150300";"915"
"150304";"006"
"150307";"915"
"150309";"915"
"150310";"915"
"150320";"915"
"150330";"915"
"150340";"915"
"150345";"915"
"150350";"915"
"150360";"915"
"150370";"006"
"150375";"915"
"150380";"006"
"150390";"915"
"150400";"915"
"150405";"915"
"150410";"915"
"150420";"006"
"150430";"915"
"150440";"915"
"150442";"915"
"150445";"003"
"150450";"915"
"150460";"915"
"150470";"915"
"150475";"915"
"150480";"915"
"150490";"915"
"150495";"915"
"150497";"006"
"150500";"915"
"150503";"915"
"150506";"915"
"150510";"915"
"150520";"915"
"150530";"915"
"150540";"915"
"150543";"915"
"150548";"003"
"150549";"006"
"150550";"915"
"150553";"006"
"150555";"006"
"150560";"915"
"150563";"006"
"150565";"003"
"150570";"915"
"150580";"915"
"150590";"003"
"150600";"915"
"150610";"915"
"150611";"915"
"150613";"006"
"150616";"006"
"150618";"006"
"150619";"915"
"150620";"915"
"150630";"915"
"150635";"915"
"150640";"915"
"150650";"915"
"150655";"915"
"150658";"915"
"150660";"915"
"150670";"915"
"150680";"915"
"150690";"915"
"150700";"915"
"150710";"915"
"150715";"006"
"150720";"915"
"150730";"915"
"150740";"915"
"150745";"006"
"150746";"915"
"150747";"915"
"150750";"006"
"150760";"915"
"150770";"915"
"150775";"006"
"150780";"003"
"150790";"915"
"150795";"915"
"150796";"915"
"150797";"915"
"150800";"915"
"150803";"915"
"150805";"915"
"150808";"915"
"150810";"915"
"150812";"915"
"150815";"003"
"150820";"915"
"150830";"915"
"150835";"003"
"150840";"006"
"160000";"916"
"160005";"916"
"160010";"916"
"160015";"916"
"160020";"916"
"160021";"916"
"160023";"916"
"160025";"916"
"160027";"916"
"160030";"916"
"160040";"916"
