"CO_REGSAUD";"CO_MACSAUD"
"00000";"0000"
"11000";"1100"
"11001";"1190"
"11002";"1190"
"11003";"1190"
"11004";"1190"
"11005";"1190"
"11006";"1190"
"11007";"1190"
"12000";"1200"
"12001";"1290"
"12002";"1290"
"12003";"1290"
"13000";"1300"
"13001";"1301"
"13002";"1301"
"13003";"1301"
"13004";"1301"
"13005";"1301"
"13006";"1301"
"13007";"1301"
"13008";"1301"
"13009";"1301"
"14000";"1400"
"14001";"1490"
"14002";"1490"
"15000";"1500"
"15001";"1590"
"15002";"1590"
"15003";"1590"
"15004";"1590"
"15006";"1590"
"15007";"1590"
"15008";"1590"
"15009";"1590"
"15010";"1590"
"15011";"1590"
"15012";"1590"
"15013";"1590"
"15014";"1590"
"16000";"1600"
"16001";"1690"
"16002";"1690"
"16003";"1690"
"17000";"1700"
"17001";"1790"
"17002";"1790"
"17003";"1790"
"17004";"1790"
"17005";"1790"
"17006";"1790"
"17007";"1790"
"17008";"1790"
"21000";"2100"
"21001";"2104"
"21002";"2106"
"21003";"2108"
"21004";"2105"
"21005";"2102"
"21006";"2101"
"21007";"2106"
"21008";"2104"
"21009";"2101"
"21010";"2106"
"21011";"2103"
"21012";"2105"
"21013";"2101"
"21014";"2107"
"21015";"2105"
"21016";"2101"
"21017";"2102"
"21018";"2103"
"21019";"2107"
"22000";"2200"
"22001";"2202"
"22002";"2206"
"22003";"2202"
"22004";"2203"
"22005";"2201"
"22006";"2205"
"22007";"2203"
"22008";"2204"
"22009";"2204"
"22010";"2204"
"22011";"2203"
"23000";"2300"
"23001";"2301"
"23002";"2301"
"23003";"2301"
"23004";"2301"
"23005";"2304"
"23006";"2301"
"23007";"2305"
"23008";"2304"
"23009";"2305"
"23010";"2305"
"23011";"2302"
"23012";"2302"
"23013";"2302"
"23014";"2304"
"23015";"2302"
"23016";"2302"
"23017";"2303"
"23018";"2303"
"23019";"2303"
"23020";"2303"
"23021";"2303"
"23022";"2301"
"24000";"2400"
"24001";"2490"
"24002";"2490"
"24003";"2490"
"24004";"2490"
"24005";"2490"
"24006";"2490"
"24007";"2490"
"24008";"2490"
"25000";"2500"
"25001";"2590"
"25002";"2590"
"25003";"2590"
"25004";"2590"
"25005";"2590"
"25006";"2590"
"25007";"2590"
"25008";"2590"
"25009";"2590"
"25010";"2590"
"25011";"2590"
"25012";"2590"
"25013";"2590"
"25014";"2590"
"25015";"2590"
"25016";"2590"
"26000";"2600"
"26001";"2603"
"26002";"2603"
"26003";"2602"
"26004";"2602"
"26005";"2601"
"26006";"2601"
"26007";"2604"
"26008";"2601"
"26009";"2604"
"26010";"2601"
"26011";"2604"
"26012";"2603"
"27000";"2700"
"27001";"2701"
"27002";"2701"
"27003";"2701"
"27004";"2701"
"27005";"2701"
"27006";"2701"
"27007";"2702"
"27008";"2702"
"27009";"2702"
