"0000";"IGNOR";"Ignorado/Exterior";"IGNORADO/EXTERIOR";"Ignorado/Exterior";"8"
"1100";"IGNOR";"Município ignorado - RO";"MUNICIPIO IGNORADO - RO";"Município ignorado - RO";"8"
"1101";"ATIVO";"I DRS";"I DRS";"I DRS";"1"
"1102";"ATIVO";"II DRS";"II DRS";"II DRS";"1"
"1103";"ATIVO";"III DRS";"III DRS";"III DRS";"1"
"1104";"ATIVO";"Dept.Epidemiologia";"DEPT.EPIDEMIOLOGIA";"Dept.Epidemiologia";"1"
"1200";"IGNOR";"Município ignorado - AC";"MUNICIPIO IGNORADO - AC";"Município ignorado - AC";"8"
"1290";"OUTROS";"Sem divisão administrativa estadual - AC";"SEM DIVISAO ADMINISTRATIVA ESTADUAL - AC";"Sem div.adm.estadual AC";"5"
"1300";"IGNOR";"Município ignorado - AM";"MUNICIPIO IGNORADO - AM";"Município ignorado - AM";"8"
"1390";"OUTROS";"Sem divisão administrativa estadual - AM";"SEM DIVISAO ADMINISTRATIVA ESTADUAL - AM";"Sem div.adm.estadual AM";"5"
"1400";"IGNOR";"Município ignorado - RR";"MUNICIPIO IGNORADO - RR";"Município ignorado - RR";"8"
"1490";"OUTROS";"Sem divisão administrativa estadual - RR";"SEM DIVISAO ADMINISTRATIVA ESTADUAL - RR";"Sem div.adm.estadual RR";"5"
"1500";"IGNOR";"Município ignorado - PA";"MUNICIPIO IGNORADO - PA";"Município ignorado - PA";"8"
"1590";"OUTROS";"Sem divisão administrativa estadual - PA";"SEM DIVISAO ADMINISTRATIVA ESTADUAL - PA";"Sem div.adm.estadual PA";"5"
"1600";"IGNOR";"Município ignorado - AP";"MUNICIPIO IGNORADO - AP";"Município ignorado - AP";"8"
"1601";"ATIVO";"I RS";"I RS";"I RS";"1"
"1602";"ATIVO";"II RS";"II RS";"II RS";"1"
"1700";"IGNOR";"Município ignorado - TO";"MUNICIPIO IGNORADO - TO";"Município ignorado - TO";"8"
"1790";"OUTROS";"Sem divisão administrativa estadual - TO";"SEM DIVISAO ADMINISTRATIVA ESTADUAL - TO";"Sem div.adm.estadual TO";"5"
"2100";"IGNOR";"Município ignorado - MA";"MUNICIPIO IGNORADO - MA";"Município ignorado - MA";"8"
"2190";"OUTROS";"Sem divisão administrativa estadual - MA";"SEM DIVISAO ADMINISTRATIVA ESTADUAL - MA";"Sem div.adm.estadual MA";"5"
"2200";"IGNOR";"Ignorado - PI";"IGNORADO - PI";"Ignorado - PI";"8"
"2201";"ATIVO";"I CRS Parnaíba";"I CRS PARNAIBA";"I CRS Parnaíba";"1"
"2202";"ATIVO";"II CRS Barras";"II CRS BARRAS";"II CRS Barras";"1"
"2203";"ATIVO";"III CRS Piripiri";"III CRS PIRIPIRI";"III CRS Piripiri";"1"
"2204";"ATIVO";"IV CRS Teresina";"IV CRS TERESINA";"IV CRS Teresina";"1"
"2205";"ATIVO";"V CRS Campo Maior";"V CRS CAMPO MAIOR";"V CRS Campo Maior";"1"
"2206";"ATIVO";"VI CRS Amarante";"VI CRS AMARANTE";"VI CRS Amarante";"1"
"2207";"ATIVO";"VII CRS Valença do Piauí";"VII CRS VALENCA DO PIAUI";"VII CRS Valença do Piauí";"1"
"2208";"ATIVO";"VIII CRS Oeiras";"VIII CRS OEIRAS";"VIII CRS Oeiras";"1"
"2209";"ATIVO";"IX CRS Picos";"IX CRS PICOS";"IX CRS Picos";"1"
"2210";"ATIVO";"X CRS Floriano";"X CRS FLORIANO";"X CRS Floriano";"1"
"2211";"ATIVO";"XI CRS São João do Piauí";"XI CRS SAO JOAO DO PIAUI";"XI CRS São João do Piauí";"1"
"2212";"ATIVO";"XII CRS São Raimundo Nonato";"XII CRS SAO RAIMUNDO NONATO";"XII CRS S.Raimundo Nonat";"1"
"2213";"ATIVO";"XIII CRS Bom Jesus";"XIII CRS BOM JESUS";"XIII CRS Bom Jesus";"1"
"2214";"ATIVO";"XIV CRS Corrente";"XIV CRS CORRENTE";"XIV CRS Corrente";"1"
"2215";"ATIVO";"XV CRS Uruçuí";"XV CRS URUCUI";"XV CRS Uruçuí";"1"
"2216";"ATIVO";"XVI CRS Fronteiras";"XVI CRS FRONTEIRAS";"XVI CRS Fronteiras";"1"
"2217";"ATIVO";"XVII CRS Paulistana";"XVII CRS PAULISTANA";"XVII CRS Paulistana";"1"
"2300";"IGNOR";"Município ignorado - CE";"MUNICIPIO IGNORADO - CE";"Município ignorado - CE";"8"
"2301";"ATIVO";"Fortaleza";"FORTALEZA";"Fortaleza";"1"
"2302";"ATIVO";"Caucaia";"CAUCAIA";"Caucaia";"1"
"2303";"ATIVO";"Maracanaú";"MARACANAU";"Maracanaú";"1"
"2304";"ATIVO";"Baturité";"BATURITE";"Baturité";"1"
"2305";"ATIVO";"Canindé";"CANINDE";"Canindé";"1"
"2306";"ATIVO";"Itapipoca";"ITAPIPOCA";"Itapipoca";"1"
"2307";"ATIVO";"Aracati";"ARACATI";"Aracati";"1"
"2308";"ATIVO";"Quixadá";"QUIXADA";"Quixadá";"1"
"2309";"ATIVO";"Russas";"RUSSAS";"Russas";"1"
"2310";"ATIVO";"Limoeiro do Norte";"LIMOEIRO DO NORTE";"Limoeiro do Norte";"1"
"2311";"ATIVO";"Sobral";"SOBRAL";"Sobral";"1"
"2312";"ATIVO";"Acaraú";"ACARAU";"Acaraú";"1"
"2313";"ATIVO";"Tianguá";"TIANGUA";"Tianguá";"1"
"2314";"ATIVO";"Tauá";"TAUA";"Tauá";"1"
"2315";"ATIVO";"Crateús";"CRATEUS";"Crateús";"1"
"2316";"ATIVO";"Camocim";"CAMOCIM";"Camocim";"1"
"2317";"ATIVO";"Icó";"ICO";"Icó";"1"
"2318";"ATIVO";"Iguatu";"IGUATU";"Iguatu";"1"
"2319";"ATIVO";"Brejo Santo";"BREJO SANTO";"Brejo Santo";"1"
"2320";"ATIVO";"Crato";"CRATO";"Crato";"1"
