"CO_MACSAUD";"CO_STATUS";"DS_NOME";"DS_NOMEPAD";"DS_ABREV";"NU_ORDEM"
"0000";"IGNOR";"Município ignorado ou exterior";"MUNICIPIO IGNORADO OU EXTERIOR";"Ignorado/Exterior";"8"
"1100";"IGNOR";"Município ignorado - RO";"MUNICIPIO IGNORADO - RO";"Ignorado - RO";"8"
"1190";"OUTROS";"Região não definida - RO";"REGIAO NAO DEFINIDA - RO";"Região não definida - RO";"5"
"1200";"IGNOR";"Município ignorado - AC";"MUNICIPIO IGNORADO - AC";"Ignorado - AC";"8"
"1290";"OUTROS";"Região não definida - AC";"REGIAO NAO DEFINIDA - AC";"Região não definida - AC";"5"
"1300";"IGNOR";"Município ignorado - AM";"MUNICIPIO IGNORADO - AM";"Ignorado - AM";"8"
"1301";"ATIVO";"Manaus";"MANAUS";"Manaus";"1"
"1400";"IGNOR";"Município ignorado - RR";"MUNICIPIO IGNORADO - RR";"Ignorado - RR";"8"
"1490";"OUTROS";"Região não definida - RR";"REGIAO NAO DEFINIDA - RR";"Região não definida - RR";"5"
"1500";"IGNOR";"Município ignorado - PA";"MUNICIPIO IGNORADO - PA";"Ignorado - PA";"8"
"1502";"ATIVO";"Norte";"NORTE";"Norte";"1"
"1503";"ATIVO";"Norte-Leste";"NORTE-LESTE";"Norte-Leste";"1"
"1504";"ATIVO";"Nordeste";"NORDESTE";"Nordeste";"1"
"1505";"ATIVO";"Centro-Oeste";"CENTRO-OESTE";"Centro-Oeste";"1"
"1506";"ATIVO";"Oeste";"OESTE";"Oeste";"1"
"1507";"ATIVO";"Sudeste";"SUDESTE";"Sudeste";"1"
"1508";"ATIVO";"Sul";"SUL";"Sul";"1"
"1590";"OUTROS";"Região não definida - PA";"REGIAO NAO DEFINIDA - PA";"Região não definida - PA";"5"
"1600";"IGNOR";"Município ignorado - AP";"MUNICIPIO IGNORADO - AP";"Ignorado - AP";"8"
"1690";"OUTROS";"Região não definida - AP";"REGIAO NAO DEFINIDA - AP";"Região não definida - AP";"5"
"1700";"IGNOR";"Município ignorado - TO";"MUNICIPIO IGNORADO - TO";"Ignorado - TO";"8"
"1790";"OUTROS";"Região não definida - TO";"REGIAO NAO DEFINIDA - TO";"Região não definida - TO";"5"
"2100";"IGNOR";"Município ignorado - MA";"MUNICIPIO IGNORADO - MA";"Ignorado - MA";"8"
"2101";"ATIVO";"São Luís";"SAO LUIS";"São Luís";"1"
"2102";"ATIVO";"Caxias";"CAXIAS";"Caxias";"1"
"2103";"ATIVO";"Pinheiro";"PINHEIRO";"Pinheiro";"1"
"2104";"ATIVO";"Imperatriz";"IMPERATRIZ";"Imperatriz";"1"
"2105";"ATIVO";"Presidente Dutra";"PRESIDENTE DUTRA";"Presidente Dutra";"1"
"2106";"ATIVO";"Coroatá";"COROATA";"Coroatá";"1"
"2107";"ATIVO";"Santa Inês";"SANTA INES";"Santa Inês";"1"
"2108";"ATIVO";"Balsas";"BALSAS";"Balsas";"1"
"2200";"IGNOR";"Município ignorado - PI";"MUNICIPIO IGNORADO - PI";"Ignorado - PI";"8"
