"CO_MUNICIP";"CO_TERRCID"
"000000";"900"
"110000";"911"
"110001";"911"
"110002";"098"
"110003";"911"
"110004";"911"
"110005";"911"
"110006";"911"
"110007";"911"
"110008";"911"
"110009";"911"
"110010";"053"
"110011";"029"
"110012";"029"
"110013";"098"
"110014";"911"
"110015";"029"
"110018";"911"
"110020";"053"
"110025";"029"
"110026";"098"
"110028";"911"
"110029";"911"
"110030";"911"
"110032";"911"
"110033";"053"
"110034";"029"
"110037";"911"
"110040";"098"
"110045";"098"
"110050";"911"
"110060";"098"
"110070";"098"
"110080";"053"
"110090";"911"
"110092";"911"
"110094";"098"
"110100";"029"
"110110";"053"
"110120";"911"
"110130";"029"
"110140";"098"
"110143";"029"
"110145";"911"
"110146";"911"
"110147";"911"
"110148";"911"
"110149";"911"
"110150";"911"
"110155";"029"
"110160";"029"
"110170";"029"
"110175";"029"
"110180";"029"
"120000";"912"
"120001";"912"
"120005";"004"
"120010";"004"
"120013";"912"
"120017";"004"
"120020";"106"
"120025";"004"
"120030";"912"
"120032";"912"
"120033";"106"
"120034";"912"
"120035";"106"
"120038";"912"
"120039";"106"
"120040";"912"
"120042";"106"
"120043";"912"
"120045";"912"
"120050";"912"
"120060";"912"
"120070";"004"
"120080";"912"
"130000";"913"
"130002";"913"
"130006";"165"
"130008";"913"
"130010";"913"
"130014";"119"
"130020";"165"
"130030";"044"
"130040";"136"
"130050";"017"
"130060";"165"
"130063";"913"
"130068";"017"
"130070";"913"
"130080";"119"
"130083";"913"
"130090";"913"
"130100";"913"
"130110";"044"
"130115";"044"
"130120";"913"
"130130";"913"
"130140";"006"
"130150";"006"
"130160";"165"
"130165";"006"
"130170";"119"
"130180";"006"
"130185";"044"
"130190";"044"
"130195";"913"
"130200";"044"
"130210";"913"
"130220";"913"
"130230";"165"
"130240";"913"
"130250";"913"
"130255";"044"
"130260";"044"
"130270";"119"
"130280";"913"
"130290";"017"
"130300";"017"
"130310";"044"
"130320";"913"
"130330";"119"
"130340";"017"
"130350";"913"
"130353";"044"
"130356";"044"
"130360";"136"
"130370";"165"
"130380";"136"
"130390";"165"
"130395";"017"
"130400";"044"
"130406";"165"
"130410";"913"
"130420";"913"
"130423";"165"
"130426";"913"
"130430";"017"
"130440";"044"
"140000";"914"
"140002";"914"
"140005";"914"
"140010";"914"
"140015";"914"
"140017";"914"
"140020";"091"
"140023";"091"
"140028";"914"
"140030";"914"
"140040";"122"
"140045";"122"
"140047";"091"
"140050";"091"
"140060";"091"
"140070";"122"
"150000";"915"
"150010";"130"
"150013";"061"
"150020";"130"
"150030";"129"
"150034";"092"
"150040";"018"
"150050";"018"
"150060";"095"
"150070";"129"
"150080";"915"
"150085";"095"
"150090";"915"
"150095";"061"
"150100";"114"
"150110";"129"
"150120";"130"
"150125";"092"
"150130";"130"
"150140";"915"
"150145";"018"
"150150";"915"
"150157";"087"
"150160";"915"
"150170";"915"
"150172";"095"
"150175";"087"
"150178";"915"
"150180";"129"
"150190";"061"
"150195";"061"
"150200";"129"
"150210";"130"
"150215";"087"
"150220";"915"
"150230";"061"
"150240";"915"
"150250";"129"
"150260";"915"
"150270";"092"
"150275";"061"
"150276";"092"
"150277";"087"
"150280";"129"
"150285";"018"
"150290";"915"
"150293";"061"
"150295";"087"
"150300";"018"
"150304";"092"
"150307";"061"
"150309";"915"
"150310";"129"
"150320";"915"
"150330";"130"
"150340";"915"
"150345";"061"
"150350";"061"
"150360";"114"
"150370";"087"
"150375";"114"
"150380";"915"
"150390";"018"
"150400";"130"
"150405";"061"
"150410";"915"
"150420";"087"
"150430";"915"
"150440";"915"
"150442";"915"
"150445";"095"
"150450";"129"
"150460";"130"
"150470";"130"
"150475";"915"
"150480";"018"
"150490";"129"
"150495";"061"
"150497";"087"
"150500";"915"
"150503";"114"
"150506";"915"
"150510";"018"
"150520";"130"
"150530";"018"
"150540";"061"
"150543";"092"
"150548";"095"
"150549";"087"
"150550";"061"
"150553";"087"
"150555";"092"
"150560";"915"
"150563";"087"
"150565";"095"
"150570";"129"
"150580";"129"
"150590";"095"
"150600";"018"
"150610";"915"
"150611";"915"
"150613";"092"
"150616";"092"
"150618";"061"
"150619";"114"
"150620";"915"
"150630";"129"
"150635";"915"
"150640";"129"
"150650";"915"
"150655";"061"
"150658";"092"
"150660";"915"
"150670";"092"
"150680";"018"
"150690";"915"
"150700";"915"
"150710";"915"
"150715";"087"
"150720";"061"
"150730";"092"
"150740";"915"
"150745";"087"
"150746";"915"
"150747";"915"
"150750";"087"
"150760";"061"
"150770";"129"
"150775";"092"
"150780";"095"
"150790";"129"
"150795";"130"
"150796";"915"
"150797";"018"
"150800";"061"
"150803";"915"
"150805";"114"
"150808";"092"
"150810";"915"
"150812";"061"
"150815";"095"
"150820";"915"
"150830";"915"
"150835";"095"
"150840";"092"
"160000";"916"
"160005";"094"
"160010";"112"
"160015";"094"
"160020";"916"
"160021";"916"
"160023";"094"
"160025";"916"
"160027";"111"
"160030";"916"
"160040";"111"
